arg1,arg2,word,sentence,verb_idx,label
интерес,,абсурд,06.12 1946 Носятся слухи о болезни Сталина люди ищут себе отвлекающих разговоров и в своих догадках опускаются до абсурда 07.12 1946 ,1 ,0
интерес,,абсурд,08.05 03 СОЦИАЛЬНЫЙ СТРАХ В ТЕАТРЕ АБСУРДА Наталья Серова ,2 ,0
интерес,,абсурд,15 Вопреки мнению некоторых комментаторов столь характерный для всего киркегардовского мышления термин Абсурд заимствован им не у немецких философов а у Тертуллиана которого Киркегард очень чтил и которому он как и многие в прошлом веке приписывал знаменитое верю потому что нелепо 16 ,2 ,0
злополучный,,абсурд,16 Абсурд А в злополучном баре Три коня абсурд происходил с удручающим постоянством и однообразием Фома рассказывал свои знаменитые сны Ирина слушала его с едва сдерживаемым возмущением ,1 ,0
злополучный,,абсурд,1 Помешательство на ЗОЖ Вести здоровый образ жизни это похвально и современно но до определенной меры пока полезные привычки не доводятся до абсурда Или орторексии распространенного недуга выражающегося в чрезмерной увлеченности тренировками правильным питанием и как следствие здоровьем и красотой ,1 ,0
злополучный,,абсурд,2005.02 22 19 45 не далее как вчера вы сами же писали что ситуацию можно довести до абсурда без обиды без склоки не одна тема подобного рода не обходится не нужно доказывать кто есть кто без деклараций без постановки диагнозов без стукачества администрации кто и что сказал единственное чего можно добитья что вашу ординaторскую прикроют заблокируют топик вам же хуже и будет меня тут знают как не которые утверждают так и ваша известность пострадает Эльфарран ,1 ,0
злополучный,,абсурд,2005.03 07 18 10 Уже не удивляюсь на наличие аналогичности У нас доходит иногда до абсурда могут мне на мобильный звонить чуть не плачут ищут а в итоге это где-нить перед носом лежит либо я приезжаю и нахожу в течении 2 5 минут Так далеко ходить не надо на прошлой недели сын в школе не мог найти листочек который положил сам в книгу В итоге в дневнике замечание ПРишел домой я только открыла книгу и нашла ну и как быть с этим ,1 ,0
злополучный,,абсурд,22 октября Она знала абсурд ей не сыграть Дурная репетиция ,2 ,0
злополучный,,абсурд,35 вторая же начинается там где для первой все возможности кончаются и все свои чаяния связывает с абсурдом Человек не ищет уже знания и понимания он убедился что знание не только бессильно помочь ему но еще потребует от него чтоб он в бессилии знания видел нечто последнее окончательное а потому успокаивающее даже мистическое чтоб он падши знанию поклонился ,1 ,0
крайний,,абсурд,40 При живом воображении и малой духовной опытности в молодые годы это развитие злого помысла совершается очень быстро и дойдя до крайнего абсурда вызывает сильную нравственную реакцию Так например у вас явилась мысль о враждебном вам человеке сопровождаемая хотя бы слабым чувством обиды негодования или гнева ,1 ,0
