arg1,arg2,word,sentence,verb_idx,label
необработанный,,алтарь,10 Протодиакон положив евангелие на престол исходит царскими вратами навстречу архиерею и берет от него трикирий а иподиаконы в это время немного притворяют каждый свою половину царских врат для целования архиереем иконы на царских вратах после чего архиерей входит в алтарь прикладывается к престолу Сослужащие входят царскими вратами в алтарь обнажив главы и поцеловав иконы на них становится поодаль от престола ближе к стене иконостаса ,1 ,0
необработанный,,алтарь,11 затем входит в алтарь все встают и кадит на архиерея трижды по трижды на сослужащих по старшинству сторон все садятся потом идет на солею кадит читающего апостол лики и народ Затем возвращается в алтарь кадит переднюю сторону престола подходит к архиерею и кадит на него трижды и отдает кадило все сидят делает поклон престолу архиерею и отходит на свое место ,1 ,0
необработанный,,алтарь,11 Иногда престол жертвенник и иконы в алтаре кадит протодиакон во время прокимна 12 ,1 ,0
необработанный,омнепотенский,алтарь,14 го декабря За раннею обедней взошел в алтарь Омнепотенский и просил отслужить панихиду Удивился его богомольности но облачился и вышел к жертвеннику ,1 ,0
необработанный,омнепотенский,алтарь,14 го декабря За раннею обеднею взошел в алтарь Омнепотенский и просил отслужить панихиду Удивился его богомольности но облачился и вышел к жертвеннику ,1 ,0
необработанный,царский,алтарь,15 Все отвечают Архиерейство твое и входят в св алтарь царскими вратами а диаконы и рипидчики северными и южными дверями 16 ,1 ,0
необработанный,,алтарь,15 Шествие замыкали эскадрон конвойных гусар казачий полк великого гетмана и донской казачий полк князя Потемкина По совершению литургии преосвященный Амвросий местоблюститель экзархии молдаво-валахской вышел было сказать надгробное слово но зарыдав не мог выговорить ни слова и возвратился в алтарь По окончании отпевания когда запели вечную память сделав одиннадцать выстрелов войска произвели троекратный беглый оружейный огонь ,1 ,0
необработанный,,алтарь,1761 года марта в 7 день переведен он на Крутицкую епархию а 7 октября того ж года пожалован архиепископом тоя ж епархии то есть сарским и подонским переименованным потом крутицким и можайским 1768 года генваря 18 дня ее императорское величество ныне благополучно владеющая государыня при отъезде своем из Москвы в Санктпетербург всемилостивейше благоволила перевесть его из Крутицкой на Московскую епархию где и находился он по день страдальческой своей кончины последовавшей 16 сентября 1771 года на 63 году от рождения его причиненной от возмутившейся в Москве черни которая нашед его в Донском монастыре во время божественной службы из алтаря и церкви вытаща бесчеловечным образом лишила жизни пред воротами того монастыря в котором он и погреб ен 4 октября того же года в трапезной церкви на левом крылосе у стены ,1 ,0
необработанный,,алтарь,17 Пред освящением иконы Спасителя Божией Матери и храмовая уносятся со средины от стола а храмовая икона ставится близ правого клира но не убирается далеко так как она нужна во время крестного хода 18 Необходимо иметь несколько книг Чин освящения церкви приготовить сидения для священников в алтаре облачальный амвон и кафедру для сидения архиерея с приличным облачением ризы одинаковые для священников палицу для архимандрита если он приглашен для служения стихари для рипидчиков мальчиков жезлоносца и свещеносца исполатчиков 19 Если в семисвещнике предположено зажигать лампады то среднее место непременно должно быть оставляемо для свечи которую и приготовляют пред освящением и ставят в семисвещник так чтобы можно было ее свободно вынимать но чтобы он однако стояла в своем месте твердо ,1 ,0
необработанный,,алтарь,18.45 Здесь в однокомнатной квартире без купола и креста со сколоченными из фанеры самодельными вратами алтарем иконостасами молилось человек двадцать уже не наших а СВОИХ Постепенно каждый из них скрытно взглянул на вошедшего и я взглянул на каждого старательно не пересекшись взглядом ,1 ,0
