arg1,arg2,word,sentence,verb_idx,label
святой,,ангел,11 2 Мы просим Бога чтобы Его святая воля исполняемая беспрекословно и в полноте святыми Ангелами на Небесах так же исполнялась нами здесь на земле Господь также сказал окружавшим Его людям Смотрите не презирайте ни одного из малых сих ибо говорю вам что Ангелы их на небесах всегда ,1 ,0
святой,,ангел,134 Некоторому брату явился диавол преобразившись в Ангела света и сказал ему я Архангел Гавриил послан к тебе Старец на это отвечал смотри не к кому ли другому ты послан потому что я недостоин того чтоб посылались ко мне Ангелы Диавол тотчас исчез ,1 ,0
святой,,ангел,157 Бенвенуто Чиллини описывает как в замке св Ангела ему явился Христос распятый на кресте столь же сияющий золотом как и самое солнце Жизнь Бенвенуто Чиллини им самим рассказанная изд ,2 ,0
падший,,ангел,16 2 Глава и начальник этого мира враждебного Богу есть падший ангел содействуют ему и служат в этой безумной и дерзостной брани прочие падшие ангелы и увлеченные им человеки Самая земля и ее твари прежде подчиненные Адаму по падении Адама вместе с ним подчинились сатане ,1 ,0
падший,,ангел,169 Вообще вопрос собственно о творении духов ангелов и человека остается наименее разъясненным в системе Бёме и это делает ее двусмысленной и даже многосмысленной ибо с одной стороны разъясняя в смысле божественного детерминизма он отвергает индетерминистический акт нового творения но в то же время порой он говорит об этом совершенно иначе 170 ,3 ,1
падший,,ангел,16 Философ Шестов говорит что в одной мудрой древней книге сказано кто хочет знать что было и что будет что под землей и что над небом тому бы лучше совсем на свет не родиться и еще так сказано в этой книге ангел смерти слетающий к человеку чтобы разлучить его душу с телом весь покрыт глазами и случается что он слетает за душой человека слишком рано когда еще не настал срок человеку покинуть землю и тогда удаляется от человека отметив его однако некоторым особым знаком оставляет ему в придачу к его природным человеческим глазам еще два глаза из б есчисленных собственных глаз и становится тот человек непохожим на прочих видит своими природными глазами все что видят все прочие люди но сверх того и нечто другое недоступное простым смертным видит глазами оставленными ему ангелом и притом так как видят не люди а существа иных миров столь противоположно своему природному зрению что возникает великая борьба в человеке борьба между его двумя зрениями ,1 ,0
милый,который,ангел,1802 1803 Я лишился милого ангела который составлял все счастие моей жизни Судите каково мне любезнейший брат ,3 ,1
свой,счастливый,ангел,18 которая у них по обыкновению при рождении делалась у всякого именинника и называлась то-есть священное приношение при обновлении рождений употребляемое сверх сего римляне своему ангелу или по их гению п риносили ладан цветы и мед по старинному суеверию древних ангел или по их счастливою делал планету под которою кто рождался и для того при рождении празднуемом всяким призываем был в молитвах спутником и хранителем природы человеческия При обновлении рождения древние воздерживались от всякого заколения почитая за грех проливать в тот день кровь и отнимать жизнь в которой кто себе жизнь получил ,1 ,0
свой,,ангел,19 У Калайдовича в статье о книгах истинных и ложных Вопросы Иеремиа к Богородици о недузе естественнем и иже именуют тра-савици басни суть Иеремиа попа Болгарьскаго глаголет бо окаанный сей яко седящу Св Сисению в горе Синайстей и Ангела Михаила именует еже на соблазн людем многым и седмь дщерий Иродовых трясцами басньствовавше Иоанн Ексарх Болгарский с 210 ,1 ,0
другой,,ангел,1 Ангел нес в двух мешках на посев семена в одном мешке были безобразные ругались дрались в другом хорошие книжки читали Богу молились Ангел рассыпал семена безобразников на одном конце озера и там стали болото и непроходимые леса а другие ангел донес и стали на другом конце озера церкви а вокруг них поля с плодящей землей 10 Мая ,1 ,0
твой,,ангел,2005.01 31 11 09 Это тебе предупреждение твоего ангела чтобы ты нашла в себе силы отказаться от беспорядочного секса с богатыми мужичками Не откажешься не найдёшь своего принца-жениха ,1 ,0
твой,,ангел,250 При этой книге приложена большая символическая гравюра где изображается Христос благословляющий царей женщина с крыльями ангел с громовыми стрелами и копьями храм премудрости на семи столбах с изображением на нем орла с сердцами на груди изображение царей архиереев и пр Эта гравюра замечательна по своему мастерскому исполнению Глава 10 ,1 ,0
твой,,ангел,253 Понятие о Церкви пребывающей на земле и в то же время Небесной утверждается на следующих словах Апостола Павла обращенных к христианам приступисте к Сионстей горе и ко граду Бога живаго Иерусалиму небесному и тмами Ангелов торжеству и церкви первородных на Небесех написанных и Судии всех Богу и духом праведник совершенных и к Ходатаю Завета Новаго Иисусу ,1 ,0
твой,,ангел,25 как он сам называл их когда-либо и открылись бы и нашему герою вышло не весьма приятно но судьбам вышнего благоугодно было послать на землю ангела мира Оба царства утомились от забот сопряженных с изысканием денег необходимых на таковой случай а обе армии от трудов беспрерывно оные отягощавших ,1 ,0
твой,,ангел,27 го августа 1833 г Москва Вчера были твои имянины сегодня твое рожденіе Поздравляю тебя и себя мой Ангелъ Вчера пилъ я твое здоровье у Киреевскаго съ Шевыревымъ и Соболевскимъ сегодня буду пить у Суденки ,3 ,1
мой,,ангел,29 Провел у Покровского в дружеских забавах 30 День моего Ангела и вот уже был день чудеснейший и любезный солнечный и претеплый и вот уж мы гуляли по улицам стесывались с девушками Были все друзья мои у меня ,3 ,1
мой,,ангел,2 мая День моего ангела Служили молебен на дому по причине моего нездоровья ,1 ,0
мой,,ангел,2 Экстазы Сведенборг переживал приступы длящиеся часами и сутками общения с богами ангелами духами и проч когда он отрешался от всего земного жил только своею духовною жизнью жил чрезвычайно энергично выше среднего жизненного уровня представлялся почти нечувствительным ко всему окружающему земному и оказывался крайне утомленным по окончании таких моментов Эти моменты крайнего духовного напряжения выражающиеся чрезмерною жизнью духа при нечувствительности ко всему земному неспособности или резко ослабленной способности восприятия внеш ,1 ,0
